taxa	sixhr_dmg	in_6_subset	arabi-defline	baseMean	H1U1_log2FC	I1U1_log2FC	I1H1_log2FC	H6U1_log2FC	I6U1_log2FC	I6H6_log2FC	onehr_dmg	in_1_subset	D_sixhr_dmg	D_in_6_subset	D_onehr_dmg	D_in_1_subset
Vigun06g151400	+		mitochondrial acyl carrier protein 3	58.39615389	-0.485788244	-0.119222759	0.366565485	1.535300047	0.840669092	-0.694630955						
Vigun06g151600	+		Heavy metal transport/detoxification superfamily protein	13.95054018	0.069094434	-0.816694195	-0.885788629	2.142855623	-0.436728858	-2.579584481				In-specific		
Vigun06g151800	+		pentatricopeptide (PPR) repeat-containing protein	39.81638321	-0.533454094	0.495020559	1.028474653	2.003929554	2.123274137	0.119344583						
Vigun06g152000	+		pentatricopeptide (PPR) repeat-containing protein	82.14406726	-0.596859853	-0.119055085	0.477804767	1.019035429	0.68769363	-0.331341799						
Vigun06g152800	+		no annotation	4.21176713	0.968525731	-0.050295188	-1.018820918	2.571141335	2.771781062	0.200639728						
Vigun06g153600	+		Thymidine kinase	108.1790559	-0.102516928	0.033047689	0.135564617	1.09918185	1.348791716	0.249609866						
Vigun06g154000	+		Auxin-responsive family protein	1159.790872	3.608484806	4.285224885	0.676740078	2.48326213	2.837498123	0.354235993	++				-	
Vigun06g156900	+		RING/U-box superfamily protein	21.74006654	1.010015468	1.556657505	0.546642038	1.789966691	2.844454089	1.054487397						
Vigun06g157200	+		Phosphofructokinase family protein	36.57780649	-0.50895772	0.047268357	0.556226077	1.514832459	1.66040683	0.145574371						
Vigun06g157700	+		decoy	2.498666761	1.158522664	1.90623649	0.747713827	2.862519646	1.162487979	-1.700031667						
Vigun06g158000	++		STRUBBELIG-receptor family 8	28.4792394	0.661702558	0.94922456	0.287522002	3.759326845	3.835580353	0.076253509						
Vigun06g158200	+		Chaperonin-like RbcX protein	145.2649901	0.08011001	0.497202218	0.417092209	1.297270261	1.314485364	0.017215103						
Vigun06g158600	+		"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"	68.52437756	1.555710937	1.767936365	0.212225427	1.186325035	1.51455265	0.328227616	+				-	
Vigun06g159600	++		WRKY family transcription factor	469.3551309	3.438394212	4.399902519	0.961508307	3.026463707	3.732528133	0.706064425	++				-	
Vigun06g160500	++		Glycine cleavage T-protein family	4.224560243	-1.181827433	2.27427451	3.456101944	3.275186021	3.52471369	0.249527669						
Vigun06g160700	+		Tetratricopeptide repeat (TPR)-like superfamily protein	7.696545324	1.361841663	2.235812749	0.873971086	2.04743788	1.926597904	-0.120839977						
Vigun06g161700	+		Ubiquitin-like superfamily protein	25.30134743	0.615776001	0.692245753	0.076469752	1.34094417	1.409027238	0.068083068						
Vigun06g162600	+		MATE efflux family protein	2865.322324	0.035151793	-0.0789893	-0.114141093	2.215389946	3.0437301	0.828340154						
Vigun06g165300	+	In-amplified	Eukaryotic aspartyl protease family protein	716.0284144	1.376982874	2.594218424	1.217235551	2.840906237	4.197500695	1.356594458	+	In-amplified			-	
Vigun06g165500	+		Eukaryotic aspartyl protease family protein	374.4297422	1.281629002	2.280176353	0.998547351	1.272638148	1.938179209	0.66554106	+				-	
Vigun06g165800	+		Heavy metal transport/detoxification superfamily protein	29.4021122	0.091220655	0.378986337	0.287765682	1.307135262	0.352029405	-0.955105857						
Vigun06g167500	++		alpha/beta-Hydrolases superfamily protein	7.200488593	2.370652249	2.348414422	-0.022237827	4.406602876	3.911155984	-0.495446892						
Vigun06g173300	++		no annotation	7.924836657	0.815373061	2.98707687	2.171703809	6.588445976	6.641629835	0.053183858						
Vigun06g173600	+		BRCT domain-containing DNA repair protein	20.17125119	0.206119277	0.031864476	-0.174254801	1.149148775	1.024568163	-0.124580612						
Vigun06g174100	++		acyl carrier protein 4	69.58427349	-0.157287788	1.028914366	1.186202154	4.698957894	5.207860017	0.508902123						
Vigun06g174500	+		beta-amylase 3	375.9937534	2.625163568	2.428940315	-0.196223253	1.991464681	2.786095596	0.794630915	+				-	
Vigun06g176800	+		"cytochrome P450, family 710, subfamily A, polypeptide 1"	224.964458	1.861815633	3.155222756	1.293407123	1.916405715	2.477097164	0.560691448	+	In-amplified			-	
Vigun06g176900	+		translocase 11	76.98199696	0.008949822	0.473123429	0.464173607	1.568999258	1.600909625	0.031910366						
Vigun06g178100	+		gibberellin 2-oxidase	30.12978133	3.87364295	4.261295492	0.387652542	2.221627093	1.810043329	-0.411583764	++				-	
Vigun06g178900	++	In-amplified	jasmonate-zim-domain protein 8	39.29726505	7.370296226	8.466420424	1.096124198	4.248524379	6.28605565	2.037531271	++				-	
Vigun06g179300	+		Small nuclear ribonucleoprotein family protein	514.6786011	0.258822826	0.067898367	-0.190924459	1.25994431	0.844201423	-0.415742888						
Vigun06g180100	+		breast cancer susceptibility1	5.448827899	0.537114341	0.986931899	0.449817558	2.826156842	2.718060101	-0.108096741						
Vigun06g180300	+		no annotation	33.77250156	0.449303604	0.508505073	0.059201469	1.467343769	1.49760255	0.030258781						
Vigun06g180600	+		Galactosyltransferase family protein	44.81520145	1.877988799	2.052280325	0.174291526	1.579398763	2.203103813	0.623705051	+				-	
Vigun06g181400	+		Metallo-hydrolase/oxidoreductase superfamily protein	21.64115538	0.584906082	0.757089143	0.172183061	1.330725552	1.342141377	0.011415825						
Vigun06g182400	++		senescence-related gene 1	4.455723027	0	2.744652443	2.650622079	4.500624477	6.423041232	1.922416755						
Vigun06g182900	+		"Protein of unknown function, DUF584"	36.65512275	0.872087551	1.424668577	0.552581026	1.995720619	1.768780086	-0.226940533						
Vigun06g184000	+		GDSL-like Lipase/Acylhydrolase superfamily protein	3.429943037	1.224694856	0.515155124	-0.709539731	2.699901398	2.458081729	-0.241819669						
Vigun06g185600	+		NOD26-like intrinsic protein 1;2	7.309941345	0.468903353	0.246010349	-0.222893004	2.025366218	2.64040153	0.615035313						
Vigun06g187700	++		no annotation	347.7250883	6.321142473	7.099135184	0.777992712	6.356917154	6.610580176	0.253663022	++				-	
Vigun06g189600	+		CBL-interacting protein kinase 12	9.970444308	1.073056531	1.407626322	0.334569791	2.585905084	2.672921427	0.087016343						
Vigun06g191500	+		Dof-type zinc finger DNA-binding family protein	21.22145124	3.045247534	3.539068559	0.493821024	1.996844115	1.713250055	-0.28359406	++				-	
Vigun06g192100	+		Cysteine proteinases superfamily protein	59.08660788	-0.844772377	0.445016545	1.289788922	2.649465746	2.66813517	0.018669425						
Vigun06g192200	+		Cysteine proteinases superfamily protein	386.4508616	0.001123456	-0.474785686	-0.475909143	1.864308144	1.979446804	0.115138661						
Vigun06g193500	++		no annotation	50.17824045	3.839067335	4.875788702	1.036721367	6.1331454	7.054344279	0.921198879	++				-	
Vigun06g193800	+		SGNH hydrolase-type esterase superfamily protein	27.74377022	0.66923825	0.136679886	-0.532558365	1.468994317	1.300265747	-0.168728569						
Vigun06g196500	+		Optic atrophy 3 protein (OPA3)	96.55855647	0.632447265	0.557122211	-0.075325054	1.86459466	1.365051935	-0.499542724						
Vigun06g197000	+		Thioredoxin superfamily protein	68.39425253	5.474778606	5.386507599	-0.088271007	2.570711895	3.448045468	0.877333572	++				-	
Vigun06g197200	+		NAC domain containing protein 73	36.36542158	0.836555739	0.929702148	0.093146409	2.002317803	2.357733959	0.355416156						
Vigun06g197300	+		no annotation	44.61789975	0.889102108	1.50738012	0.618278012	1.376207992	0.921063047	-0.455144945						
Vigun06g197500	+		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	33.52411357	0.065801306	1.097562706	1.0317614	1.43680356	1.174953834	-0.261849726		In-accelerated				
Vigun06g197900	+		DNAJ heat shock family protein	73.49919471	0.018463564	-0.415722925	-0.434186489	1.042321137	1.161555465	0.119234327						
Vigun06g198400	+		no annotation	94.83760449	-1.058669705	-0.845019815	0.21364989	1.526334869	1.276063952	-0.250270917						
Vigun06g198800	+		erf domain protein 9	726.8356065	4.683206763	4.513969135	-0.169237628	1.622216625	2.067580931	0.445364306	++				-	
Vigun06g199000	++		ERF domain protein 12	73.21774176	3.088598291	3.396961821	0.30836353	3.163265395	4.155718384	0.992452989	++				-	
Vigun06g199900	+		Ribosomal protein S6e	259.4095361	-0.180306876	0.598211298	0.778518174	1.029192088	1.625650802	0.596458714						
Vigun06g200600	++		Protein of unknown function (DUF506)	6.00584916	-1.875872987	0.778557042	2.654430029	3.823550419	2.836566475	-0.986983944						
Vigun06g201000	+		Protein of unknown function (DUF616)	15.62744652	0.747959412	0.491837838	-0.256121574	1.50450554	1.811880093	0.307374553						
Vigun06g202000	+		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	58.22764554	0.733157811	0.961404966	0.228247155	1.466585514	0.954949928	-0.511635587						
Vigun06g202300	+		Rubber elongation factor protein (REF)	1704.077202	2.252556031	1.970637872	-0.281918159	1.298031489	1.223525045	-0.074506444	+				-	
Vigun06g203400	+		Aluminium induced protein with YGL and LRDR motifs	20.15097263	2.319641581	1.931351824	-0.388289757	1.264701347	2.101655081	0.836953735	+				-	
Vigun06g203600	++		Protein kinase superfamily protein	23.35535426	1.040435039	2.662477141	1.622042102	3.45986161	3.034781793	-0.425079817		In-accelerated				
Vigun06g204500	++		no annotation	158.8111859	1.15844099	0.881929976	-0.276511013	3.018326579	3.405648438	0.387321859						
Vigun06g205000	++		NAC domain containing protein 25	6.317768658	6.419246551	5.558173351	-0.8610732	4.077069013	3.902227018	-0.174841995	++				-	
Vigun06g205900	+		STRUBBELIG-receptor family 3	2.885315898	-1.124400488	-1.550118998	-0.42571851	2.236665605	0.905436356	-1.331229249						
Vigun06g206600	++		no annotation	30.64507283	3.976695928	5.102954839	1.12625891	3.289243053	2.434734679	-0.854508374	++				-	
Vigun06g207300	+		Protein of unknown function (DUF761)	398.3019503	2.549789791	2.743851081	0.194061289	1.279814538	0.914402257	-0.365412281	+				-	
Vigun06g208100	+		F-box family protein	60.37132076	2.929170577	3.908711125	0.979540547	1.259650522	1.619189141	0.359538619	+				-	
Vigun06g208400	++		NAD(P)H dehydrogenase B2	382.8710408	-0.419677389	2.934156329	3.353833718	7.409549822	7.431005097	0.021455275		In-accelerated				
Vigun06g208600	+		PapD-like superfamily protein	54.50034287	0.373562009	0.999030767	0.625468758	1.214523287	1.280716473	0.066193186						
Vigun06g208900	++		MYB-like 102	2.217955165	3.248729102	2.184708276	-1.064020826	4.250210236	0.414064496	-3.83614574						
Vigun06g210000	+		Calcium-binding EF-hand family protein	12.38513566	1.573709454	1.578585215	0.004875761	1.742057359	1.075418274	-0.666639084	+				-	
Vigun06g210300	+		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	3.637619877	0.026728099	1.00167598	0.974947881	2.260392735	0.178835059	-2.081557677						
Vigun06g210500	+		S-locus lectin protein kinase family protein	59.55385784	4.485687617	5.268587507	0.78289989	2.537096707	3.114978863	0.577882157	++				-	
Vigun06g210600	++		receptor kinase 3	27.72214843	3.786865216	5.496722215	1.709856999	5.310113326	5.148043624	-0.162069703	++	In-amplified			-	
Vigun06g211800	+		terpene synthase 14	943.7182581	5.321050069	6.012412477	0.691362408	2.036193052	2.708389615	0.672196562	++				-	
Vigun06g214300	++		Leucine-rich receptor-like protein kinase family protein	71.31919954	5.027226993	5.96326074	0.936033747	6.387075975	7.382091757	0.995015782	++				-	
Vigun06g214500	+		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	51.9464295	0.874553974	1.390465149	0.515911175	2.878055995	2.224649724	-0.653406271						
Vigun06g215900	+		mitochondrial HSO70 2	883.9682075	0.089153744	0.598965489	0.509811745	1.464391445	2.106390814	0.641999369						
Vigun06g216100	+		oligopeptide transporter 4	174.9909457	0.930966933	1.350047501	0.419080568	1.563085232	1.322951343	-0.240133888						
Vigun06g217000	+		Transducin/WD40 repeat-like superfamily protein	113.9479186	-0.203057412	0.506227383	0.709284796	1.208328666	1.470102528	0.261773862						
Vigun06g219100	+	In-amplified	Chaperone DnaJ-domain superfamily protein	72.58435035	3.031801958	4.093358626	1.061556668	2.088197757	3.118174991	1.029977234	++	In-amplified			-	
Vigun06g219500	++		no annotation	72.66611804	-2.813097689	-0.564071176	2.249026513	3.460668397	1.683488416	-1.777179981						
Vigun06g219600	++		no annotation	412.8876331	-0.99484891	-0.575973058	0.418875852	4.044337158	1.897037465	-2.147299692				In-specific		
Vigun06g219700	+		no annotation	8.307731238	-0.186407772	-0.648232308	-0.461824536	1.753001424	0.837808977	-0.915192446						
Vigun06g220000	+		Oligosaccaryltransferase	64.2855843	-0.243568839	-0.08797159	0.15559725	1.155527606	1.509857915	0.354330309						
Vigun06g220900	+		homologue of NAP57	1687.623025	-0.37636074	0.293144789	0.669505528	1.878785519	1.765823992	-0.112961528						
Vigun06g221100	++		no annotation	22.42685333	2.769770922	2.213043887	-0.556727035	4.397836673	4.469215059	0.071378386	+				-	
Vigun06g221200	++		arabinogalactan protein 1	66.90040169	3.78247889	3.746088119	-0.036390771	4.215541848	4.40763887	0.192097022	++				-	
Vigun06g221300	+		GTP cyclohydrolase II	56.45370864	1.499238186	2.495792307	0.996554121	1.047609328	1.373324387	0.325715059	+				-	
Vigun06g222400	+	In-amplified	Aldolase-type TIM barrel family protein	122.5880087	0.452414895	0.896866219	0.444451324	2.313851761	4.258791289	1.944939527						
Vigun06g224200	++		Peroxidase superfamily protein	63.36957197	2.584546005	4.701930642	2.117384637	3.963276695	4.812476116	0.849199421	+	In-amplified			-	
Vigun06g224800	+		DNAJ-like 20	317.962964	0.822351103	0.967062014	0.144710911	1.017873132	1.094738566	0.076865434						
Vigun06g225800	++		UDP-Glycosyltransferase superfamily protein	6.141186524	1.49011942	2.214738023	0.724618603	5.734203429	6.644047404	0.909843975						
Vigun06g226100	+		UDP-glucosyl transferase 85A3	13.6328215	0.580949461	2.005046024	1.424096563	1.266176837	1.08537916	-0.180797677						
Vigun06g228400	+		nodulin MtN21 /EamA-like transporter family protein	13.80031526	1.414754052	2.243700582	0.82894653	1.923055494	2.148985546	0.225930052						
Vigun06g228500	+		no annotation	247.3806901	0.927427098	0.759112513	-0.168314585	1.697101886	2.45789526	0.760793374						
Vigun06g228800	+		Putative serine esterase  family protein	3.409637622	0.916989516	1.361201776	0.444212261	2.470099079	2.439021666	-0.031077413						
Vigun06g229100	+		Basic-leucine zipper (bZIP) transcription factor family protein	59.39656593	1.222973606	1.148778624	-0.074194982	1.108379081	0.917732809	-0.190646272	+				-	
Vigun06g229900	+		homolog of separase	9.423074973	-0.673192547	1.205154035	1.878346583	1.362898091	1.288181664	-0.074716427		In-accelerated				
Vigun06g230000	+		Ribosomal protein L10 family protein	338.6348866	-0.015188124	0.219075487	0.234263611	1.795081782	1.889002771	0.09392099						
Vigun06g233700	+		no annotation	7.062886374	1.976481588	1.47468838	-0.501793207	2.309951348	2.190065375	-0.119885973	+				-	
Vigun06g235500	++	In-amplified	Lactoylglutathione lyase / glyoxalase I family protein	26.04506679	5.36024774	6.375920484	1.015672743	5.326063124	6.419991553	1.093928429	++				-	
Vigun06g235900	+		Transducin/WD40 repeat-like superfamily protein	170.4477546	0.150161523	0.376387854	0.226226331	1.810273972	1.753901519	-0.056372453						
Vigun07g001000	+		PENTATRICOPEPTIDE REPEAT 596	145.8827211	-0.186257264	0.006897329	0.193154593	1.44838874	1.53056205	0.08217331						
Vigun07g001100	+		AUX/IAA transcriptional regulator family protein	68.15382015	0.658187338	1.310555664	0.652368327	1.492956162	2.347324674	0.854368513						
Vigun07g002900	++		calmodulin-like 11	61.90636207	3.879081725	4.269154973	0.390073249	5.926100466	6.736244719	0.810144253	++				-	
Vigun07g004100	++		no annotation	5.864896189	2.148175851	3.692427162	1.544251312	5.837392926	6.267399417	0.430006491						
Vigun07g005300	++	In-amplified	no annotation	240.4801203	5.709650254	7.139232454	1.4295822	5.008936115	8.551218182	3.542282067	++	In-amplified			-	
Vigun07g006200	+		Transducin/WD40 repeat-like superfamily protein	92.01239372	-0.675577144	0.105432486	0.781009629	1.301386724	1.467742596	0.166355873						
Vigun07g007500	+		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	41.30765574	-0.303900688	-0.115697047	0.188203641	1.017751069	1.317232718	0.299481649						
Vigun07g007600	+		Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein	424.5908504	-0.478486513	0.504654295	0.983140809	1.426622561	1.995877862	0.569255301						
Vigun07g008700	++		ethylene response factor 1	10.40366087	0.07861222	-1.069376895	-1.147989115	5.835014578	2.895007393	-2.940007185				In-specific		
Vigun07g009500	+		HR-like lesion-inducing protein-related	85.12194422	-0.167359957	0.521990947	0.689350904	1.727161739	2.311268923	0.584107185						
Vigun07g009600	+		3-hydroxyacyl-CoA dehydratase 1	27.72199371	0.323776544	0.977447619	0.653671075	1.34350207	2.152175565	0.808673496						
Vigun07g009700	++		Helicase protein with RING/U-box domain	9.099100504	1.105975432	2.701961762	1.59598633	4.130616086	4.118968635	-0.011647451						
Vigun07g011100	+		"HAD superfamily, subfamily IIIB acid phosphatase"	15.76627409	-1.633082783	0.696942005	2.330024788	2.104807468	1.698703377	-0.40610409		In-accelerated				
Vigun07g012300	+		RNA binding;RNA binding	211.5069111	-0.224452099	0.437067415	0.661519514	1.723722467	2.067517669	0.343795202						
Vigun07g012900	++	In-amplified	Putative lysine decarboxylase family protein	14.85286836	4.448770061	6.44299809	1.994228029	3.061980863	4.555994832	1.494013969	++	In-amplified			-	
Vigun07g014100	+		no annotation	8.764929524	2.956384005	2.442542341	-0.513841664	1.961877218	1.984265404	0.022388186	+				-	
Vigun07g014200	+		Leucine-rich repeat protein kinase family protein	50.08803857	-0.424646718	-0.396803847	0.02784287	1.29263492	0.777302492	-0.515332428						
Vigun07g014300	+		Ribosomal protein S8e family protein	250.726084	0.283285622	0.581193792	0.297908169	1.168949411	1.35006119	0.181111779						
Vigun07g014500	+		BEL1-like homeodomain 1	623.0391763	0.427369974	-0.099810024	-0.527179997	1.26923459	1.758018005	0.488783415						
Vigun07g014600	++		plant U-box 24	6.758502495	-2.660820075	0.866500383	3.527320458	3.087330386	3.882412313	0.795081927						
Vigun07g015000	+		no annotation	10.69767349	2.082187197	1.875742696	-0.206444501	1.64316343	0.952092175	-0.691071255	+				-	
Vigun07g021600	+		"Nucleic acid-binding, OB-fold-like protein"	886.3939817	-0.725090146	0.511627915	1.236718061	1.421070167	1.695746248	0.274676081		In-accelerated				
Vigun07g023300	+		Disease resistance-responsive (dirigent-like protein) family protein	6.141136218	-1.396241272	-2.251458797	-0.855217525	1.683015549	1.142780819	-0.54023473						
Vigun07g024000	+		Plant protein of unknown function (DUF828)	25.02263011	0.132936306	0.939683944	0.806747638	1.332636391	1.780890064	0.448253672						
Vigun07g025200	+		actin 1	8.822089174	0.652784285	1.130495134	0.477710849	2.369476126	2.009490128	-0.359985998						
Vigun07g025700	++	In-amplified	fatty acid desaturase 2	61.13819119	3.222941022	4.932308665	1.709367643	6.861932682	7.928480467	1.066547785	++	In-amplified			-	
Vigun07g025800	+		Late Embryogenesis Abundant 4-5	23.28736503	0.609715701	1.397893391	0.78817769	2.02116448	2.253901201	0.232736721						
Vigun07g027200	+	In-amplified	no annotation	23.17773024	1.73388436	1.212853566	-0.521030794	2.997556452	4.805164072	1.807607621						
Vigun07g027800	+		Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein	22.71404385	-0.394367386	-0.284458298	0.109909088	1.474851603	1.177519519	-0.297332084						
Vigun07g030100	++		no annotation	7.362077653	2.830272071	2.261767752	-0.568504319	6.149269338	6.762292359	0.613023021						
Vigun07g030500	+		nuclear RNA polymerase A1	277.318681	0.051930011	-0.00763401	-0.059564021	1.307063455	0.966240554	-0.340822901						
Vigun07g031900	+		guanylate kinase	28.84574416	0.317932035	1.23583052	0.917898485	2.294606702	2.811241075	0.516634373						
Vigun07g035100	+		no annotation	59.15720605	0.463748887	0.616695588	0.152946701	1.116759561	1.272472337	0.155712776						
Vigun07g036000	+		Glycosyl hydrolase family protein	116.2052209	-0.582676921	0.145804062	0.728480982	1.140211482	1.882720744	0.742509262						
Vigun07g036500	++		IQ-domain 12	1.20418523	0	2.589653469	2.495626837	3.60402809	3.720331346	0.116303256						
Vigun07g037000	+		Protein kinase superfamily protein	43.88756996	0.362875166	0.237497388	-0.125377778	1.032614971	1.215963814	0.183348843						
Vigun07g037500	+		Gibberellin-regulated family protein	11.97451861	-1.701946896	-0.180117103	1.521829793	1.975812735	-0.665778255	-2.641590989				In-specific		
Vigun07g038800	+		basic region/leucine zipper motif 60	64.52424089	1.551411172	1.474419552	-0.07699162	2.136647128	1.981490556	-0.155156572	+				-	
Vigun07g039200	+		exocyst complex component sec15A	29.13612071	-0.115632118	-0.009342302	0.106289816	1.088884102	1.096526431	0.007642329						
Vigun07g043800	+		CDPK-related kinase 1	44.97746714	0.293308176	0.270488419	-0.022819757	1.080073616	0.989681182	-0.090392434						
Vigun07g043900	++		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	293.2244487	1.637327061	2.100248049	0.462920988	6.987738355	7.246981747	0.259243392	+				-	
Vigun07g048300	+	In-amplified	Acyl-CoA N-acyltransferases (NAT) superfamily protein	58.21845328	3.490222285	4.644311524	1.154089238	2.871602306	7.467735797	4.596133491	++				-	
Vigun07g048400	++		Concanavalin A-like lectin protein kinase family protein	13.7296895	6.086104639	6.450017646	0.363913007	3.835056141	5.511587285	1.676531143	++				-	
Vigun07g049000	+		WCRKC thioredoxin 2	18.59066602	0.746595475	1.558700856	0.812105381	2.133721537	2.548706188	0.41498465						
Vigun07g050000	+		heat shock protein 60	235.2540258	-0.769453113	0.134980552	0.904433666	1.597777943	2.003815789	0.406037846						
Vigun07g051200	+		Pectin lyase-like superfamily protein	10.39976568	-0.29108736	0.62829614	0.919383499	2.50167168	1.656474219	-0.845197461						
Vigun07g052300	+		P-loop containing nucleoside triphosphate hydrolases superfamily protein	31.31667545	-0.655252428	0.194436238	0.849688666	1.37221628	1.496950998	0.124734719						
Vigun07g052400	+		NB-ARC domain-containing disease resistance protein	5.787693905	2.125414715	0.91166836	-1.213746355	2.923559183	0.592769428	-2.330789756				In-specific		
Vigun07g053300	+		GTP-binding family protein	534.9910116	0.038934758	0.44563882	0.406704063	1.678816447	1.722891363	0.044074915						
Vigun07g055400	++	In-amplified	glycerol-3-phosphate acyltransferase 6	42.91996652	0.800653112	-0.501739521	-1.302392634	7.125100865	9.062062885	1.93696202						
Vigun07g055900	+		Single hybrid motif superfamily protein	56.13622138	0.21427706	0.2183027	0.00402564	1.072537999	0.976812857	-0.095725142						
Vigun07g056300	+		MUTL protein homolog 1	13.16036085	-0.520984498	-1.83416115	-1.313176652	1.316570318	0.933383071	-0.383187247						
Vigun07g057900	+		plasmodesmata-located protein 2	27.81131908	-1.002347908	-0.262151623	0.740196284	1.275474816	0.594079283	-0.681395534						
Vigun07g058000	+		Ribosomal protein S3 family protein	395.5810272	-0.353101021	0.493466845	0.846567866	1.150870963	1.685546808	0.534675845						
Vigun07g058200	+		Ribosomal S17 family protein	1008.235462	-0.192008467	0.468927471	0.660935938	1.080861259	1.312407453	0.231546194						
Vigun07g058400	++		AP2/B3-like transcriptional factor family protein	16.05261289	3.062059197	2.845993539	-0.216065659	3.550696347	4.578023983	1.027327636	++				-	
Vigun07g062500	++		SAUR-like auxin-responsive protein family	15.80790691	-0.62731286	2.256243141	2.883556	7.045438566	6.791515961	-0.253922605						
Vigun07g065500	+		Pyruvate kinase family protein	148.740838	0.480687357	0.357569146	-0.123118211	1.495482956	1.672676555	0.177193599						
Vigun07g066000	+		Protein of unknown function (DUF668)	10.67956443	-1.617480441	0.277794729	1.89527517	2.902153408	1.410628906	-1.491524503						
Vigun07g066900	+		Ribosomal RNA processing Brix domain protein	367.133262	-0.01983639	0.344417796	0.364254185	1.51152746	1.527464403	0.015936943						
Vigun07g068200	++		C-repeat/DRE binding factor 1	98.95413477	7.159646344	8.119918412	0.960272067	4.386631277	5.403088549	1.016457272	++				-	
Vigun07g068900	+		Leucine-rich repeat receptor-like protein kinase family protein	9.764975976	0.595090657	0.740392414	0.145301757	1.971681548	1.714554128	-0.25712742						
Vigun07g070200	++	In-amplified	no annotation	441.604621	7.531056778	8.204226709	0.673169932	3.722246483	5.620061749	1.897815266	++				-	
Vigun07g070300	+		Ribosomal protein L11 family protein	419.735022	0.18773204	1.247350548	1.059618509	2.183347353	2.727951501	0.544604147		In-accelerated				
Vigun07g071300	++		xyloglucan endotransglucosylase/hydrolase 32	8.863089559	0.136857218	0.647050731	0.510193513	4.475794485	5.017730066	0.541935581						
Vigun07g071500	+		no annotation	66.17702436	0.468558812	0.36377838	-0.104780432	1.404835519	1.495171776	0.090336258						
Vigun07g071600	+		Pentatricopeptide repeat (PPR) superfamily protein	7.685730765	0.340744293	0.839920804	0.499176511	1.386274275	1.716378639	0.330104363						
Vigun07g075600	+		adenosine kinase 2	541.7549695	-0.098182019	0.538125108	0.636307127	1.841463037	2.005661913	0.164198876						
Vigun07g076200	+		RNA-binding (RRM/RBD/RNP motifs) family protein	937.9775775	-1.280549123	-0.692611402	0.587937721	1.300377349	0.744807887	-0.555569462						
Vigun07g076800	++		alpha carbonic anhydrase 7	3.393255649	0	2.189752563	2.095723855	5.074888033	5.662549593	0.58766156						
Vigun07g078000	+		no annotation	165.8829816	1.751260273	2.50705069	0.755790417	1.580811199	1.805070343	0.224259144	+				-	
Vigun07g078200	+		Glutathione S-transferase family protein	2064.78315	-0.105669614	-0.190443534	-0.08477392	1.624934585	2.230979955	0.60604537						
Vigun07g080100	+		alpha/beta-Hydrolases superfamily protein	16.21051724	0.58529227	-0.369251452	-0.954543722	1.2285569	1.486512832	0.257955932						
Vigun07g080200	+		Chaperone DnaJ-domain superfamily protein	159.381143	0.42521131	0.401973416	-0.023237893	1.343397351	1.357878778	0.014481427						
Vigun07g080600	+		Peroxidase superfamily protein	37.57498572	-0.18010949	0.671534045	0.851643536	2.42614877	3.316633717	0.890484947						
Vigun07g080900	+		ataurora3	11.98597935	-1.582153693	-0.659862321	0.922291372	1.396779504	1.417565492	0.020785988						
Vigun07g081000	+		no annotation	5.310704426	0.231010514	0.872179483	0.641168969	2.078879439	1.903144454	-0.175734985						
Vigun07g081400	++		no annotation	2.912730375	0.815370207	1.67245924	0.857089033	5.444653451	4.774285986	-0.670367466						
Vigun07g082100	+		Pentatricopeptide repeat (PPR) superfamily protein	20.20081843	1.639962218	1.622690656	-0.017271562	1.012970971	0.607796001	-0.405174971	+				-	
Vigun07g083000	++		exocyst subunit exo70 family protein H4	6.981334387	4.246765622	5.263154836	1.016389215	4.400702481	4.881152499	0.480450018	++				-	
Vigun07g083100	+		Ribosomal L29 family protein	662.1536782	-0.115559953	0.421787882	0.537347834	1.559319481	1.526185491	-0.03313399						
Vigun07g084100	+		C2H2 and C2HC zinc fingers superfamily protein	105.2590471	4.289686064	4.474494251	0.184808187	1.430302538	1.871870223	0.441567685	++				-	
Vigun07g085000	+		Histone superfamily protein	304.0152044	0.302074402	1.019401871	0.717327469	1.820387661	2.121221791	0.30083413						
Vigun07g085100	+		no annotation	212.3042662	2.657581752	2.480739459	-0.176842293	1.114267092	0.35893196	-0.755335133	+				-	
Vigun07g088500	++		Flavin-binding monooxygenase family protein	5.532123219	-0.627315509	3.112679195	3.739994704	5.02257112	5.482124747	0.459553627		In-accelerated				
Vigun07g089300	+		GroES-like zinc-binding dehydrogenase family protein	18.79641216	-0.013499026	0.692080005	0.705579031	1.419137067	1.540796943	0.121659876						
Vigun07g089700	+		multidrug resistance-associated protein 5	137.7873156	1.742071388	1.34684599	-0.395225398	1.717353803	1.704485198	-0.012868606	+				-	
Vigun07g089900	+		Exostosin family protein	40.70525998	1.894507616	1.982645571	0.088137956	1.789109811	2.234171872	0.445062061	+				-	
